弗拉基米尔,弗拉迪米尔
吸血鬼,弗拉迪米尔
艾尼维亚,艾妮维亚
冰鸟,艾妮维亚
艾瑞莉娅,伊瑞莉雅
刀妹,伊瑞莉雅
铸星龙王,翱锐龙兽
龙王,翱锐龙兽
奥瑞利安索尔,翱锐龙兽
崔丝塔娜,崔丝塔娜
小炮,崔丝塔娜
月男,亚菲利欧
厄斐琉斯,亚菲利欧
船长,刚普朗克
普朗克,刚普朗克
黑默丁格,汉默丁格
大发明家,汉默丁格
大头,汉默丁格
金克丝,吉茵珂丝
暴走萝莉,吉茵珂丝
爆爆,吉茵珂丝
卡莉斯塔,克黎思妲
滑板鞋,克黎思妲
复仇之矛,克黎思妲
卡特琳娜,卡特莲娜
卡特,卡特莲娜
雷克顿,雷尼克顿
荒漠屠夫,雷尼克顿
鳄鱼,雷尼克顿
诺提勒斯,纳帝鲁斯
深海泰坦,纳帝鲁斯
泰坦,纳帝鲁斯
蛮王,泰达米尔
ez,伊泽瑞尔
EZ,伊泽瑞尔
伊泽,伊泽瑞尔
通碧,月影步枪
断魄,月镰枪刃
萤焰,炽夜月焰
坠明,月殒重炮
折镜,月曲终章
沙皇,阿祈尔
沙漠皇帝,阿祈尔
阿兹尔,阿祈尔
阿克尚,埃可尚
佛爷,维尔戈
佛耶戈,维尔戈
剑姬,菲欧拉
菲奥娜,菲欧拉
jackylove,达瑞文
德莱文,达瑞文
德莱厄斯,达瑞斯
小学生之手,达瑞斯
诺手,达瑞斯
巨魔,特朗德
特朗德尔,特朗德
布隆,布郎姆
皎月,黛安娜
女枪,好运姐
厄运小姐,好运姐
炸弹人,希格斯
吉格斯,希格斯
锐雯,雷玟
瑞文,雷玟
雷文,雷玟
乐芙兰,勒布朗
妖姬,勒布朗
挖掘机,雷珂煞
雷克塞,雷珂煞
丽桑卓,丽珊卓
冰女,丽珊卓
卢锡安,路西恩
卢仙,路西恩
奥巴马,路西恩
内瑟斯,纳瑟斯
狗头,纳瑟斯
塞勒芬妮,瑟菈纷
萨勒芬妮,瑟菈纷
瑟拉芬妮,瑟菈纷
瑟庄妮,史瓦妮
猪妹,史瓦妮
岩雀,塔莉雅
塔莉娅,塔莉雅
塔姆,贪啃奇
蛤蟆,贪啃奇
小法,维迦
小法师,维迦
邪恶小法师,维迦
女警,凯特琳
小蛋糕,凯特琳
皮城女警,凯特琳
光女,拉克丝
日女,雷欧娜
太阳女孩,雷欧娜
太阳妈,雷欧娜
曙光,雷欧娜
曙光女神,雷欧娜
蕾欧娜,雷欧娜
人马,赫克林
赫卡里姆,赫克林
维克托,维克特
三只手,维克特
轮子妈,希维尔
蜘蛛女皇,伊莉丝
蜘蛛,伊莉丝
加里奥,加里欧
正义巨像,加里欧
UD,乌迪尔
泽拉斯,齐勒斯
泽三炮,齐勒斯
阿卡丽,阿卡莉
离群之刺,阿卡莉
猫头鹰,猫耳鸮
阿狸,阿璃
狐狸,阿璃
悠米,悠咪
猫咪,悠咪
猫,悠咪
纳尔,呐儿
菲兹,飞斯
鱼人,飞斯
小鱼人,飞斯
小鱼人,飞斯
德玛西亚之力,盖伦
基兰,极灵
时光,极灵
老头,极灵
时光老头,极灵
杰斯,杰西
卡尔玛,卡玛
扇子妈,卡玛
卡牌,逆命
卡牌大师,逆命
崔斯特,逆命
凯南,凯能
狂暴之心,凯能
奎因,葵恩
鸟人,葵恩
兰博,蓝宝
李青,李星
瞎子,李星
盲僧,李星
璐璐,露璐
大树,茂凯
扭曲树精,茂凯
魔腾,夜曲
梦魇,夜曲
娜美,娜米
唤潮鲛姬,娜米
千珏,镜爪
塞恩,赛恩
老司机,赛恩
赛娜,姗娜
斯维因,斯温
乌鸦,斯温
提莫,提摩
蔚,菲艾
楚雨荨,菲艾
亚索,犽宿
风男,犽宿
快乐风男,犽宿
永恩,犽凝
佐伊,柔依
锤形态小炮,波比
进步日,进步日！
咬咬手榴弹,咬咬手榴弹！
狂躁,狂躁！
逮到你啰,逮到你啰！
更多的火药,更多的火药！
皮克斯,皮克斯！
幻想曲,幻想曲！
帅啊小皮,帅啊小皮！
抗拒,抗拒！
拒绝,抗拒！
安检合格,安检合格！
友情万岁,友情万岁！
皇子,嘉文四世
奶妈,索拉卡
龙女,希瓦娜
贴贴,友情万岁！
咆哮深渊,咆啸深渊
嚎哭深渊,咆啸深渊
大乱斗,咆啸深渊
毒性吹箭,剧毒吹箭
困心窃魔樟婆,疑心魔坎芙
吹箭,剧毒吹箭
始祖魄罗,原始普罗
胖魄罗,原始普罗
合照,团体照
废物利用,废料堆
海克斯爆破雷区,海克斯地雷带
约德尔侍从,约德尔随从
出征,约德尔出征
